cycle,mode,width,stage,alive_tasks,rss_kib,sockets,requests,handshakes,drain,active_cp,cp_calls
7,recovery,128,idle,2,30928,0,0,0,0,0,64
7,recovery,128,held_observed_max,322,30928,64,64,0,0,64,64
7,recovery,128,quiescent,2,30928,0,0,0,0,0,64
8,distinct,128,idle,2,30928,0,0,0,0,0,64
8,distinct,128,held_observed_max,511,30928,64,64,0,0,64,64
8,distinct,128,quiescent,2,30928,0,0,0,0,0,64
8,same,384,idle,2,30928,0,0,0,0,0,64
8,same,384,held_observed_max,955,30928,256,256,0,0,1,1
8,same,384,quiescent,2,30928,0,0,0,0,0,1
8,cancel,128,idle,2,30928,0,0,0,0,0,1
8,cancel,128,held_observed_max,322,30928,64,64,0,0,64,64
8,cancel,128,quiescent,2,30928,0,0,0,0,0,64
8,recovery,128,idle,2,30928,0,0,0,0,0,64
8,recovery,128,held_observed_max,322,30928,64,64,0,0,64,64
8,recovery,128,quiescent,2,30928,0,0,0,0,0,64
9,distinct,128,idle,2,30928,0,0,0,0,0,64
9,distinct,128,held_observed_max,338,30928,64,64,0,0,64,64
9,distinct,128,quiescent,2,30928,0,0,0,0,0,64
9,same,384,idle,2,30928,0,0,0,0,0,64
9,same,384,held_observed_max,983,31504,256,256,0,0,1,1
9,same,384,quiescent,2,31504,0,0,0,0,0,1
9,cancel,128,idle,2,31504,0,0,0,0,0,1
9,cancel,128,held_observed_max,322,31504,64,64,0,0,64,64
9,cancel,128,quiescent,2,31504,0,0,0,0,0,64
9,recovery,128,idle,2,31504,0,0,0,0,0,64
9,recovery,128,held_observed_max,322,31504,64,64,0,0,64,64
9,recovery,128,quiescent,2,31504,0,0,0,0,0,64
10,distinct,128,idle,2,31504,0,0,0,0,0,64
10,distinct,128,held_observed_max,474,31504,64,64,0,0,64,64
10,distinct,128,quiescent,2,31520,0,0,0,0,0,64
10,same,384,idle,2,31520,0,0,0,0,0,64
10,same,384,held_observed_max,1051,31520,256,256,0,0,1,1
10,same,384,quiescent,2,31520,0,0,0,0,0,1
10,cancel,128,idle,2,31520,0,0,0,0,0,1
10,cancel,128,held_observed_max,488,31520,64,64,0,0,64,64
10,cancel,128,quiescent,2,31520,0,0,0,0,0,64
10,recovery,128,idle,2,31520,0,0,0,0,0,64
10,recovery,128,held_observed_max,506,31520,64,64,0,0,64,64
10,recovery,128,quiescent,2,31520,0,0,0,0,0,64
11,distinct,128,idle,2,31520,0,0,0,0,0,64
11,distinct,128,held_observed_max,433,31520,64,64,0,0,64,64
11,distinct,128,quiescent,2,31520,0,0,0,0,0,64
11,same,384,idle,2,31520,0,0,0,0,0,64
11,same,384,held_observed_max,1000,31520,256,256,0,0,1,1
11,same,384,quiescent,2,31520,0,0,0,0,0,1
11,cancel,128,idle,2,31520,0,0,0,0,0,1
11,cancel,128,held_observed_max,499,31520,64,64,0,0,64,64
11,cancel,128,quiescent,2,31520,0,0,0,0,0,64
11,recovery,128,idle,2,31520,0,0,0,0,0,64
11,recovery,128,held_observed_max,401,31520,64,64,0,0,64,64
11,recovery,128,quiescent,2,31520,0,0,0,0,0,64
12,distinct,128,idle,2,31520,0,0,0,0,0,64
